Id,Political Party,Ideology,Race,Gender,Religion,Family Income,Education,Age,Region,Bush Approval,Vote
45,Democratic,Moderate,Other,Female,Protestant,150000+,College,18-29,West,Approve,Obama
46,Republican,Conservative,Other,Female,Protestant,30000-49999,College,45-64,West,Approve,McCain
47,Democratic,Moderate,Black,Male,Protestant,30000-49999,Post-Grad,30-44,Midwest,Approve,Obama
48,Independent,Conservative,White,Male,Protestant,30000-49999,Post-Grad,30-44,Northeast,Approve,Obama
49,Independent,Liberal,Black,Male,Catholic,100000-149999,College,18-29,Northeast,Disapprove,Obama
50,Democratic,Moderate,White,Male,Catholic,50000-74999,Post-Grad,18-29,Northeast,Disapprove,Obama
51,Democratic,Moderate,Other,Male,Catholic,100000-149999,College,18-29,Midwest,Disapprove,Obama
52,Republican,Moderate,Black,Male,Catholic,100000-149999,College,30-44,South,Approve,Obama
53,Independent,Moderate,White,Female,Other,100000-149999,College,45-64,Midwest,Disapprove,Obama
54,Republican,Conservative,White,Female,Other,30000-49999,College,45-64,Midwest,Disapprove,Obama
55,Independent,Liberal,White,Female,Protestant,30000-49999,College,45-64,Northeast,Disapprove,Obama
56,Republican,Conservative,White,Female,Protestant,30000-49999,Post-Grad,45-64,Northeast,Disapprove,Obama
57,Independent,Moderate,White,Male,Protestant,30000-49999,College,45-64,Northeast,Disapprove,Obama
58,Independent,Liberal,Other,Female,Catholic,50000-74999,College,18-29,Northeast,Disapprove,Obama
59,Republican,Moderate,Black,Female,Protestant,100000-149999,H.S. diploma or less,18-29,Northeast,Disapprove,Obama
60,Republican,Moderate,White,Male,Protestant,50000-74999,H.S. diploma or less,30-44,South,Disapprove,Obama
61,Republican,Conservative,Black,Female,Catholic,50000-74999,H.S. diploma or less,30-44,Midwest,Disapprove,Obama
62,Independent,Moderate,White,Male,Protestant,50000-74999,Post-Grad,30-44,South,Approve,Obama
63,Independent,Conservative,White,Female,Catholic,75000-99999,College,45-64,Midwest,Approve,McCain
64,Democratic,Liberal,White,Male,Other,Less than 30000,College,30-44,South,Approve,Obama
65,Republican,Liberal,White,Male,Other,Less than 30000,College,45-64,Midwest,Approve,Obama
66,Democratic,Moderate,White,Female,Other,30000-49999,College,45-64,Midwest,Disapprove,Obama
67,Democratic,Liberal,White,Male,Other,Less than 30000,College,45-64,Midwest,Disapprove,Obama
68,Independent,Moderate,White,Female,Other,30000-49999,Post-Grad,30-44,Northeast,Approve,Obama
69,Democratic,Moderate,White,Male,Protestant,30000-49999,H.S. diploma or less,65+,Northeast,Approve,Obama
70,Republican,Liberal,White,Female,Protestant,30000-49999,Post-Grad,18-29,South,Disapprove,Obama
71,Democratic,Liberal,White,Male,Protestant,50000-74999,College,65+,Northeast,Disapprove,Obama
72,Independent,Moderate,Other,Male,Catholic,150000+,College,30-44,Midwest,Disapprove,Obama
73,Independent,Moderate,White,Female,Protestant,100000-149999,College,30-44,Midwest,Disapprove,Obama
74,Republican,Moderate,White,Male,Other,30000-49999,College,30-44,Midwest,Disapprove,Obama
75,Democratic,Liberal,White,Female,Other,100000-149999,College,45-64,Northeast,Disapprove,Obama
76,Republican,Moderate,White,Female,Other,30000-49999,Post-Grad,45-64,Midwest,Disapprove,Obama
77,Republican,Conservative,White,Female,Protestant,30000-49999,College,45-64,Northeast,Disapprove,Obama
78,Democratic,Moderate,White,Female,Protestant,30000-49999,College,18-29,Northeast,Disapprove,Obama
79,Independent,Conservative,White,Female,Protestant,100000-149999,College,65+,Northeast,Approve,McCain
80,Democratic,Conservative,White,Female,Protestant,Less than 30000,College,18-29,Midwest,Disapprove,Obama
81,Republican,Moderate,White,Female,Protestant,50000-74999,H.S. diploma or less,18-29,West,Approve,Obama
82,Democratic,Moderate,White,Female,Protestant,75000-99999,H.S. diploma or less,18-29,Northeast,Approve,Obama
83,Republican,Conservative,White,Male,Protestant,50000-74999,H.S. diploma or less,45-64,South,Disapprove,Obama
84,Democratic,Moderate,White,Female,Protestant,150000+,H.S. diploma or less,30-44,South,Approve,Obama
85,Republican,Conservative,White,Female,Protestant,150000+,College,45-64,Midwest,Approve,McCain
86,Democratic,Liberal,Black,Male,Catholic,30000-49999,College,45-64,Midwest,Disapprove,Obama
87,Independent,Liberal,White,Male,Protestant,150000+,College,45-64,Northeast,Disapprove,Obama
88,Democratic,Moderate,White,Female,Catholic,30000-49999,Post-Grad,18-29,Midwest,Disapprove,Obama
89,Republican,Conservative,White,Female,Catholic,50000-74999,Post-Grad,30-44,Northeast,Disapprove,Obama
90,Democratic,Moderate,White,Female,Catholic,30000-49999,Post-Grad,65+,Northeast,Disapprove,Obama
91,Independent,Liberal,White,Female,Other,100000-149999,Post-Grad,45-64,Northeast,Disapprove,Obama
92,Democratic,Conservative,White,Female,Protestant,50000-74999,College,65+,Midwest,Disapprove,McCain
93,Republican,Conservative,Other,Female,Protestant,100000-149999,College,30-44,Midwest,Disapprove,Obama
94,Independent,Liberal,Other,Female,Protestant,100000-149999,College,65+,Northeast,Disapprove,Obama
95,Republican,Conservative,Black,Female,Catholic,Less than 30000,Post-Grad,30-44,Northeast,Approve,Obama
96,Independent,Moderate,White,Female,Protestant,30000-49999,H.S. diploma or less,30-44,Northeast,Disapprove,Obama
97,Democratic,Moderate,White,Female,Protestant,150000+,College,30-44,Midwest,Approve,Obama
98,Independent,Moderate,White,Male,Other,30000-49999,Post-Grad,65+,Northeast,Approve,Obama
99,Democratic,Moderate,Black,Male,Protestant,Less than 30000,H.S. diploma or less,30-44,South,Disapprove,Obama
100,Independent,Moderate,Black,Female,Other,Less than 30000,H.S. diploma or less,65+,South,Disapprove,Obama
101,Independent,Conservative,White,Male,Protestant,50000-74999,College,45-64,South,Approve,Obama
102,Independent,Liberal,White,Female,Protestant,30000-49999,College,65+,South,Approve,Obama
103,Republican,Moderate,White,Female,Protestant,75000-99999,College,30-44,Midwest,Disapprove,Obama
104,Independent,Liberal,White,Male,Protestant,75000-99999,College,18-29,West,Approve,Obama
105,Republican,Moderate,White,Female,Protestant,75000-99999,College,45-64,Northeast,Disapprove,McCain
106,Democratic,Moderate,Other,Female,Protestant,Less than 30000,College,45-64,South,Disapprove,Obama
107,Independent,Moderate,Black,Female,Protestant,100000-149999,College,45-64,South,Disapprove,Obama
108,Republican,Conservative,Other,Male,Protestant,Less than 30000,Post-Grad,45-64,Midwest,Disapprove,Obama
109,Democratic,Conservative,Black,Male,Protestant,Less than 30000,Post-Grad,30-44,South,Disapprove,Obama
110,Republican,Conservative,Black,Male,Protestant,30000-49999,Post-Grad,45-64,West,Disapprove,Obama
111,Independent,Liberal,White,Male,Catholic,75000-99999,College,65+,West,Disapprove,Obama
112,Democratic,Moderate,White,Male,Catholic,30000-49999,H.S. diploma or less,65+,West,Disapprove,Obama
113,Independent,Moderate,White,Male,Catholic,75000-99999,College,65+,South,Disapprove,McCain
114,Republican,Conservative,White,Female,Catholic,75000-99999,College,65+,Northeast,Disapprove,McCain
115,Democratic,Moderate,White,Female,Protestant,75000-99999,College,30-44,Northeast,Approve,Obama
116,Republican,Conservative,White,Female,Other,Less than 30000,Post-Grad,30-44,South,Approve,Obama
117,Democratic,Liberal,Black,Male,Protestant,100000-149999,College,30-44,South,Disapprove,Obama
118,Independent,Conservative,White,Male,Protestant,Less than 30000,H.S. diploma or less,30-44,South,Disapprove,Obama
119,Democratic,Conservative,White,Male,Protestant,100000-149999,Post-Grad,45-64,South,Disapprove,Obama
120,Republican,Liberal,Other,Male,Catholic,50000-74999,College,45-64,South,Disapprove,Obama
121,Democratic,Moderate,Other,Male,Catholic,Less than 30000,College,18-29,West,Disapprove,Obama
122,Republican,Moderate,Black,Female,Protestant,Less than 30000,College,45-64,West,Disapprove,Obama
123,Independent,Conservative,Black,Female,Other,50000-74999,College,18-29,West,Disapprove,Obama
124,Democratic,Moderate,White,Female,Other,50000-74999,H.S. diploma or less,18-29,West,Disapprove,Obama
125,Republican,Conservative,White,Male,Other,50000-74999,College,18-29,South,Disapprove,Obama
126,Democratic,Liberal,White,Female,Protestant,150000+,College,30-44,South,Approve,Obama
127,Republican,Liberal,White,Male,Catholic,150000+,College,30-44,South,Disapprove,Obama
128,Democratic,Moderate,White,Male,Catholic,150000+,Post-Grad,30-44,South,Approve,Obama
129,Republican,Liberal,Black,Male,Catholic,100000-149999,Post-Grad,45-64,South,Approve,Obama
130,Democratic,Moderate,White,Male,Other,30000-49999,H.S. diploma or less,30-44,South,Disapprove,Obama
131,Republican,Conservative,White,Female,Other,150000+,Post-Grad,45-64,Midwest,Disapprove,McCain
132,Democratic,Liberal,White,Female,Other,Less than 30000,College,45-64,Midwest,Approve,Obama
133,Republican,Conservative,White,Female,Protestant,50000-74999,College,45-64,Northeast,Approve,Obama
134,Independent,Liberal,White,Female,Protestant,50000-74999,College,45-64,Northeast,Disapprove,Obama
135,Independent,Conservative,White,Female,Protestant,50000-74999,College,45-64,Midwest,Approve,Obama
136,Democratic,Liberal,Black,Female,Protestant,50000-74999,College,18-29,West,Approve,Obama
137,Independent,Moderate,White,Female,Catholic,50000-74999,Post-Grad,30-44,West,Disapprove,Obama
138,Democratic,Moderate,White,Female,Protestant,Less than 30000,Post-Grad,65+,Northeast,Disapprove,Obama
139,Republican,Conservative,White,Female,Protestant,75000-99999,Post-Grad,30-44,South,Disapprove,Obama
140,Democratic,Moderate,White,Female,Protestant,Less than 30000,College,45-64,Northeast,Disapprove,Obama
141,Republican,Moderate,White,Female,Protestant,Less than 30000,Post-Grad,30-44,South,Disapprove,Obama
142,Democratic,Liberal,White,Male,Protestant,Less than 30000,College,65+,South,Disapprove,Obama
143,Republican,Moderate,White,Male,Protestant,30000-49999,H.S. diploma or less,30-44,Midwest,Disapprove,Obama
144,Democratic,Moderate,White,Male,Catholic,30000-49999,H.S. diploma or less,65+,Northeast,Disapprove,Obama
145,Independent,Moderate,Other,Female,Catholic,50000-74999,College,45-64,Midwest,Disapprove,Obama
146,Independent,Conservative,White,Male,Catholic,100000-149999,College,65+,Northeast,Approve,McCain
147,Republican,Moderate,Black,Female,Protestant,50000-74999,College,30-44,Northeast,Disapprove,Obama
148,Democratic,Conservative,White,Female,Catholic,100000-149999,College,18-29,Northeast,Disapprove,Obama
149,Republican,Conservative,White,Male,Other,100000-149999,College,45-64,South,Approve,McCain
150,Independent,Moderate,White,Female,Protestant,Less than 30000,H.S. diploma or less,45-64,South,Disapprove,Obama
151,Democratic,Liberal,White,Female,Protestant,30000-49999,H.S. diploma or less,30-44,South,Approve,Obama
152,Independent,Moderate,White,Male,Protestant,75000-99999,College,30-44,South,Disapprove,Obama
153,Republican,Moderate,White,Female,Catholic,Less than 30000,College,30-44,South,Disapprove,Obama
154,Independent,Conservative,White,Male,Protestant,Less than 30000,College,30-44,Midwest,Disapprove,Obama
155,Republican,Liberal,White,Male,Catholic,30000-49999,College,65+,Northeast,Disapprove,Obama
156,Democratic,Conservative,Other,Female,Other,30000-49999,Post-Grad,45-64,South,Disapprove,Obama
157,Republican,Liberal,Black,Male,Other,30000-49999,College,65+,West,Disapprove,Obama
158,Independent,Liberal,Black,Female,Other,50000-74999,H.S. diploma or less,65+,West,Disapprove,Obama
159,Democratic,Moderate,White,Male,Catholic,100000-149999,Post-Grad,65+,West,Disapprove,Obama
160,Democratic,Moderate,White,Female,Catholic,100000-149999,Post-Grad,30-44,South,Approve,Obama
161,Democratic,Conservative,White,Male,Protestant,100000-149999,College,30-44,Northeast,Approve,Obama
162,Republican,Moderate,White,Male,Catholic,100000-149999,College,45-64,South,Disapprove,McCain
163,Independent,Conservative,Other,Male,Other,30000-49999,H.S. diploma or less,30-44,South,Disapprove,Obama
164,Democratic,Liberal,White,Female,Protestant,30000-49999,H.S. diploma or less,45-64,South,Approve,Obama
165,Democratic,Conservative,White,Male,Protestant,30000-49999,College,18-29,Midwest,Approve,Obama
166,Democratic,Moderate,Other,Male,Protestant,30000-49999,College,45-64,Midwest,Approve,Obama
167,Democratic,Liberal,White,Male,Catholic,50000-74999,College,18-29,Midwest,Disapprove,Obama
168,Independent,Moderate,Other,Female,Catholic,50000-74999,H.S. diploma or less,30-44,Northeast,Disapprove,Obama
169,Independent,Moderate,Other,Female,Catholic,150000+,College,18-29,Northeast,Disapprove,Obama
170,Democratic,Liberal,Black,Female,Catholic,100000-149999,H.S. diploma or less,30-44,South,Disapprove,Obama
171,Republican,Conservative,White,Female,Catholic,30000-49999,Post-Grad,18-29,South,Disapprove,Obama
172,Democratic,Moderate,White,Male,Protestant,75000-99999,College,30-44,South,Disapprove,Obama
173,Independent,Liberal,White,Female,Other,Less than 30000,College,30-44,South,Disapprove,Obama
174,Democratic,Moderate,White,Female,Protestant,30000-49999,College,30-44,South,Disapprove,Obama
175,Republican,Moderate,White,Female,Protestant,Less than 30000,College,30-44,South,Disapprove,Obama
176,Democratic,Moderate,White,Female,Protestant,30000-49999,College,45-64,Northeast,Approve,Obama
177,Independent,Moderate,Other,Female,Protestant,30000-49999,College,30-44,South,Disapprove,Obama
178,Democratic,Moderate,White,Female,Protestant,30000-49999,H.S. diploma or less,65+,West,Disapprove,Obama
179,Republican,Conservative,Black,Male,Catholic,50000-74999,H.S. diploma or less,45-64,West,Approve,Obama
180,Democratic,Liberal,White,Male,Protestant,50000-74999,College,65+,West,Approve,Obama
181,Republican,Moderate,Black,Male,Protestant,50000-74999,College,30-44,South,Disapprove,Obama
182,Democratic,Moderate,White,Male,Catholic,Less than 30000,H.S. diploma or less,65+,West,Disapprove,Obama
183,Republican,Moderate,White,Male,Protestant,75000-99999,H.S. diploma or less,30-44,South,Disapprove,Obama
184,Democratic,Moderate,White,Female,Catholic,Less than 30000,College,30-44,South,Disapprove,Obama
185,Democratic,Moderate,White,Female,Protestant,Less than 30000,College,30-44,South,Disapprove,Obama
186,Independent,Conservative,White,Female,Protestant,30000-49999,College,65+,South,Disapprove,McCain
187,Republican,Conservative,White,Female,Protestant,30000-49999,Post-Grad,45-64,South,Disapprove,Obama
188,Democratic,Liberal,White,Female,Protestant,30000-49999,College,65+,Midwest,Disapprove,Obama
189,Republican,Liberal,White,Male,Protestant,50000-74999,Post-Grad,65+,West,Disapprove,Obama
190,Democratic,Conservative,Other,Male,Protestant,100000-149999,Post-Grad,65+,Northeast,Disapprove,Obama
191,Democratic,Moderate,Black,Male,Protestant,100000-149999,Post-Grad,30-44,Northeast,Approve,Obama
192,Independent,Moderate,Black,Male,Catholic,100000-149999,College,45-64,Northeast,Disapprove,Obama
193,Democratic,Moderate,White,Male,Catholic,50000-74999,H.S. diploma or less,18-29,Northeast,Disapprove,Obama
194,Republican,Conservative,White,Female,Protestant,150000+,College,18-29,South,Disapprove,Obama
195,Democratic,Liberal,White,Female,Other,100000-149999,College,30-44,South,Approve,Obama
196,Independent,Moderate,White,Male,Protestant,150000+,College,30-44,South,Disapprove,Obama
197,Republican,Moderate,White,Female,Protestant,30000-49999,Post-Grad,30-44,West,Approve,Obama
198,Independent,Moderate,White,Female,Protestant,30000-49999,Post-Grad,30-44,South,Approve,Obama
199,Democratic,Moderate,White,Female,Protestant,30000-49999,Post-Grad,65+,Midwest,Disapprove,Obama
200,Independent,Conservative,White,Female,Protestant,50000-74999,College,45-64,Midwest,Approve,Obama
201,Democratic,Liberal,White,Female,Protestant,50000-74999,H.S. diploma or less,65+,West,Disapprove,Obama
202,Independent,Conservative,White,Female,Catholic,150000+,H.S. diploma or less,65+,South,Disapprove,McCain
203,Democratic,Liberal,White,Female,Protestant,100000-149999,H.S. diploma or less,18-29,West,Disapprove,Obama
204,Independent,Liberal,White,Male,Protestant,30000-49999,College,45-64,Northeast,Disapprove,Obama
205,Democratic,Moderate,White,Male,Other,150000+,College,18-29,West,Disapprove,Obama
206,Republican,Moderate,Black,Male,Catholic,30000-49999,College,45-64,Northeast,Disapprove,Obama
207,Democratic,Conservative,White,Female,Protestant,30000-49999,College,45-64,South,Disapprove,Obama
208,Independent,Liberal,White,Male,Protestant,50000-74999,Post-Grad,45-64,South,Disapprove,Obama
209,Democratic,Conservative,White,Male,Catholic,50000-74999,Post-Grad,45-64,Midwest,Disapprove,Obama
210,Republican,Liberal,White,Female,Protestant,50000-74999,Post-Grad,45-64,Northeast,Approve,Obama
211,Democratic,Conservative,White,Female,Protestant,50000-74999,H.S. diploma or less,45-64,Midwest,Approve,Obama
212,Republican,Moderate,White,Female,Protestant,150000+,Post-Grad,30-44,Midwest,Disapprove,Obama
213,Independent,Moderate,White,Male,Protestant,75000-99999,College,45-64,Midwest,Approve,McCain
214,Republican,Conservative,White,Female,Protestant,Less than 30000,College,18-29,Northeast,Approve,Obama
215,Democratic,Moderate,White,Male,Protestant,75000-99999,College,30-44,Midwest,Disapprove,Obama
216,Independent,Conservative,White,Female,Protestant,Less than 30000,Post-Grad,18-29,Northeast,Approve,Obama
217,Democratic,Liberal,White,Male,Catholic,30000-49999,College,30-44,Northeast,Disapprove,Obama
218,Independent,Liberal,White,Male,Protestant,150000+,Post-Grad,30-44,Northeast,Disapprove,Obama
219,Democratic,Moderate,White,Female,Protestant,30000-49999,H.S. diploma or less,30-44,Northeast,Disapprove,Obama
220,Independent,Moderate,Black,Male,Other,30000-49999,College,65+,South,Disapprove,Obama
221,Republican,Conservative,White,Male,Protestant,50000-74999,H.S. diploma or less,30-44,South,Disapprove,Obama
222,Democratic,Conservative,White,Female,Protestant,100000-149999,H.S. diploma or less,65+,West,Disapprove,McCain
223,Republican,Liberal,White,Male,Protestant,75000-99999,H.S. diploma or less,45-64,South,Approve,McCain
224,Democratic,Conservative,White,Female,Protestant,100000-149999,Post-Grad,65+,West,Disapprove,McCain
225,Republican,Conservative,Other,Female,Protestant,100000-149999,College,30-44,West,Disapprove,Obama
226,Independent,Moderate,Other,Female,Protestant,100000-149999,College,65+,West,Disapprove,Obama
227,Democratic,Liberal,Black,Male,Protestant,30000-49999,College,30-44,South,Approve,Obama
228,Independent,Moderate,Black,Male,Protestant,30000-49999,College,45-64,West,Disapprove,Obama
229,Democratic,Moderate,Black,Female,Catholic,30000-49999,College,45-64,South,Disapprove,Obama
230,Republican,Liberal,White,Male,Protestant,30000-49999,College,45-64,South,Approve,Obama
231,Democratic,Conservative,Black,Female,Catholic,50000-74999,H.S. diploma or less,45-64,South,Approve,Obama
232,Independent,Liberal,White,Male,Protestant,100000-149999,H.S. diploma or less,65+,South,Disapprove,Obama
233,Republican,Liberal,Black,Male,Protestant,50000-74999,College,18-29,South,Approve,Obama
234,Independent,Moderate,White,Female,Other,75000-99999,H.S. diploma or less,65+,South,Approve,McCain
235,Republican,Moderate,White,Male,Protestant,50000-74999,College,65+,West,Disapprove,McCain
236,Democratic,Moderate,White,Female,Protestant,75000-99999,College,45-64,South,Approve,Obama
237,Republican,Conservative,White,Male,Protestant,Less than 30000,College,30-44,West,Disapprove,Obama
238,Democratic,Moderate,Other,Female,Catholic,75000-99999,College,30-44,West,Disapprove,Obama
239,Republican,Liberal,Other,Female,Catholic,30000-49999,College,30-44,Northeast,Disapprove,Obama
240,Democratic,Liberal,Other,Male,Catholic,30000-49999,College,30-44,South,Disapprove,Obama
241,Republican,Moderate,Other,Female,Protestant,30000-49999,Post-Grad,30-44,Northeast,Disapprove,Obama
242,Independent,Liberal,Black,Male,Other,50000-74999,Post-Grad,45-64,Midwest,Approve,Obama
243,Republican,Moderate,White,Female,Protestant,50000-74999,Post-Grad,18-29,Midwest,Disapprove,Obama
244,Democratic,Moderate,White,Female,Protestant,50000-74999,Post-Grad,45-64,Midwest,Approve,Obama
245,Democratic,Conservative,White,Male,Protestant,150000+,College,18-29,Midwest,Approve,Obama
246,Democratic,Liberal,White,Female,Catholic,50000-74999,College,18-29,Midwest,Disapprove,Obama
247,Democratic,Conservative,White,Female,Catholic,Less than 30000,College,45-64,Midwest,Approve,Obama
248,Democratic,Liberal,White,Female,Catholic,Less than 30000,College,30-44,Northeast,Approve,Obama
249,Republican,Liberal,Other,Female,Catholic,Less than 30000,College,30-44,West,Disapprove,Obama
250,Democratic,Moderate,Other,Female,Other,30000-49999,College,30-44,South,Disapprove,Obama
251,Republican,Moderate,Black,Female,Protestant,30000-49999,H.S. diploma or less,45-64,West,Disapprove,Obama
252,Democratic,Conservative,White,Male,Other,30000-49999,College,30-44,Northeast,Disapprove,Obama
253,Republican,Moderate,Other,Male,Protestant,50000-74999,H.S. diploma or less,65+,Midwest,Disapprove,Obama
254,Democratic,Conservative,White,Male,Protestant,Less than 30000,H.S. diploma or less,65+,Northeast,Disapprove,McCain
255,Republican,Liberal,Other,Male,Protestant,50000-74999,H.S. diploma or less,45-64,Midwest,Disapprove,Obama
256,Republican,Liberal,White,Male,Protestant,75000-99999,College,18-29,Midwest,Disapprove,Obama
257,Independent,Moderate,White,Male,Protestant,75000-99999,College,45-64,Midwest,Disapprove,Obama
258,Independent,Liberal,White,Female,Protestant,75000-99999,College,18-29,Midwest,Disapprove,Obama
259,Republican,Moderate,White,Female,Catholic,75000-99999,College,30-44,Midwest,Disapprove,Obama
260,Independent,Moderate,White,Female,Protestant,Less than 30000,College,65+,Northeast,Disapprove,Obama
261,Democratic,Liberal,White,Female,Catholic,30000-49999,Post-Grad,30-44,South,Approve,Obama
262,Democratic,Conservative,Other,Female,Protestant,150000+,College,45-64,Northeast,Disapprove,Obama
263,Democratic,Liberal,Other,Female,Catholic,30000-49999,Post-Grad,30-44,South,Approve,Obama
264,Democratic,Liberal,Other,Female,Protestant,30000-49999,H.S. diploma or less,45-64,South,Approve,Obama
265,Democratic,Moderate,White,Male,Protestant,50000-74999,Post-Grad,45-64,South,Disapprove,Obama
266,Independent,Moderate,Black,Female,Protestant,100000-149999,College,18-29,Midwest,Approve,Obama
267,Democratic,Moderate,White,Female,Protestant,50000-74999,H.S. diploma or less,18-29,South,Approve,Obama
268,Republican,Conservative,White,Male,Protestant,100000-149999,College,45-64,West,Disapprove,McCain
269,Independent,Moderate,White,Female,Protestant,100000-149999,College,30-44,Northeast,Disapprove,Obama
270,Republican,Conservative,White,Male,Other,100000-149999,College,30-44,Northeast,Disapprove,Obama
271,Independent,Conservative,White,Male,Protestant,30000-49999,College,30-44,Northeast,Disapprove,Obama
272,Republican,Moderate,White,Female,Catholic,150000+,College,30-44,South,Disapprove,Obama
273,Republican,Liberal,Other,Female,Protestant,30000-49999,College,30-44,West,Disapprove,Obama
274,Independent,Moderate,White,Female,Protestant,150000+,H.S. diploma or less,30-44,Northeast,Disapprove,Obama
275,Democratic,Moderate,White,Male,Protestant,Less than 30000,H.S. diploma or less,65+,Northeast,Approve,Obama
276,Democratic,Conservative,Other,Female,Other,50000-74999,College,45-64,Northeast,Approve,Obama
277,Democratic,Liberal,Other,Female,Protestant,Less than 30000,H.S. diploma or less,45-64,Midwest,Disapprove,Obama
278,Democratic,Conservative,Black,Male,Protestant,50000-74999,College,45-64,South,Approve,Obama
279,Democratic,Liberal,White,Female,Protestant,75000-99999,H.S. diploma or less,18-29,Midwest,Disapprove,Obama
280,Independent,Liberal,Black,Male,Protestant,75000-99999,College,30-44,Midwest,Disapprove,Obama
281,Democratic,Moderate,White,Female,Catholic,Less than 30000,College,45-64,Midwest,Approve,Obama
282,Independent,Liberal,White,Male,Protestant,75000-99999,College,30-44,Northeast,Disapprove,Obama
283,Independent,Moderate,White,Male,Other,Less than 30000,College,30-44,West,Disapprove,Obama
284,Democratic,Moderate,White,Female,Other,30000-49999,College,30-44,South,Disapprove,Obama
285,Democratic,Conservative,White,Female,Other,150000+,H.S. diploma or less,30-44,South,Disapprove,Obama
